天海 良治,NTT,2001-08-22
田中 秀和,豊橋技科大,2001-08-22
梅村 恭司,豊橋技科大,2001-08-22
寺田 実,東大,2001-08-22
岩崎 英哉,電通大,2001-08-22
横尾 徳保,九工大,2001-08-22
小出 洋,九工大,2001-08-22
重松 保弘,九工大,2001-08-22
原田 康徳,NTT/JST,2001-08-22
小出 洋,九工大,2001-08-22
松永 均,北陸経済研,2001-08-22
疋田 敏朗,東大,2001-08-22
副田 俊介,東大,2001-08-22
横山 大作,東大,2001-08-22
鶴岡 慶雅,東大,2001-08-22
丸山 孝志,東大,2001-08-22
近山 隆,東大,2001-08-22
松永 均,北陸経済研,2001-08-22
木村 健一,はこだて未来大,2001-08-22
美馬 義亮,はこだて未来大,2001-08-22
柳 英克,はこだて未来大,2001-08-22
松崎 公紀,東大,2001-08-22
岩崎 英哉,電通大,2001-08-22
寺田 実,東大,2001-08-22
首藤 一幸,産総研,2001-08-22
福地 健太郎,東工大,2001-08-22
竹内 郁雄,電通大,2001-08-22
天海 良治,NTT,2001-08-22
山崎 憲一,NTT Docomo,2001-08-22
吉田 雅治,NTT-IT,2001-08-22
梅村 恭司,豊橋技科大,2001-08-22
田中 哲朗,,2001-08-22
首藤 一幸,産総研,2001-08-22
大澤 範高,NIME,2001-08-22
浅井 紀久夫,NIME,2001-08-22
杉本 裕二,NIME,2001-08-22
斎藤 史彦,ソリッドレイ研究所,2001-08-22
長 慎也,早大,2001-08-22
河野 真治,琉球大,2001-08-22
萩谷 昌己,JST CREST & 東京大学大学院情報理工学研究科,2002-09-18
西川 明男,JST CREST & 大阪電気通信大学短期大学部,2002-09-18
佐藤 進也,NTT 未来ねっと研究所,2002-09-18
竹内 郁雄,電気通信大学,2002-09-18
伊知地 宏,ラムダ数学教育研究所,2002-09-18
鈴木 貢,電気通信大学情報工学科,2002-09-18
南 宣正,電気通信大学情報工学科,2002-09-18
南 宣正,富士フィルムソフトウェア,2002-09-18
前田 洋一,電気通信大学情報工学科 現在日立製作所,2002-09-18
河野 健二,電気通信大学情報工学科,2002-09-18
楯岡 孝道,電気通信大学情報工学科,2002-09-18
阿部 公輝,電気通信大学情報工学科,2002-09-18
渡邊 坦,電気通信大学情報工学科,2002-09-18
寺田 実,電気通信大学情報通信工学科,2002-09-18
林 芳樹,東京大学大学院情報理工学系研究科知能機械情報学専攻,2002-09-18
寺田 実,電気通信大学情報通信工学科,2002-09-18
美馬 義亮,公立はこだて未来大学システム情報科学部情報アーキテクチャ学科,2002-09-18
木村 健一,公立はこだて未来大学システム情報科学部情報アーキテクチャ学科,2002-09-18
柳 英克,公立はこだて未来大学システム情報科学部情報アーキテクチャ学科,2002-09-18
