馬場 始三,奈良先端科学技術大学院大学,1996-09-01
米津 光浩,慶應義塾大学,1996-09-01
松田 晃一,Sony Computer Science Lab.,1996-09-01
中村 嘉志,電気通信大学,1997-09-03
田辺 則彦,慶應義塾湘南藤沢中高等部,1997-09-03
西田 知博,大阪大学,1997-09-03
越智 洋司,徳島大学,1997-09-03
渡辺 俊雄,株式会社 アスキー,1997-09-03
越智 洋司,徳島大学大学院工学研究科,1997-09-03
矢農 正紀,早稲田大学大学院理工学専攻科,1997-09-03
池田 茂,株式会社 応用技術総合研究所,1997-09-03
斎藤 正武,青山学院大学理工学研究科,1997-09-03
田辺 則彦,慶応義塾湘南藤沢中・高等部,1997-09-03
戴 震原,電気通信大学電気通信研究科,1997-09-03
西田 知博,大阪大学 情報処理教育センター,1997-09-03
須田 宇宙,千葉工業大学工学部,1997-09-03
河村 俊一,千葉工業大学工学部,1997-09-03
山内 斉,電気通信大学情報システム学研究科,1997-09-03
岩井 輝男,慶應義塾大学大学院理工学研究科,1997-09-03
宇治 玲子,慶應義塾大学SFC研究所,1997-09-03
室野園 薫子,情報処理学会音楽情報科学研究会,1997-09-03
坂本 巨樹,早稲田大学二村研究室,1997-09-03
小出 洋,日本原子力研究所,1997-09-03
楯岡 孝道,電気通信大学,1997-09-03
中村 嘉志,電気通信大学,1997-09-03
筧 一彦,早稲田大学,1997-09-03
川本 史生,早稲田大学,1997-09-03
吉池 久夫,慶應義塾大学,1997-09-03
山口 文彦,慶應義塾大学,1997-09-03
田中 詠子,慶應義塾大学,1997-09-03
楯岡 孝道,電気通信大学,1998-09-03
小出 洋,日本原子力研究所,1998-09-03
山口 文彦,慶應義塾大学,1998-09-03
川本 史生,早稲田大学,1998-09-03
筧 一彦,早稲田大学,1998-09-03
倉本 到,大阪大学,1998-09-03
川本 史生,早稲田大学,1998-09-03
小出 洋,日本原子力研究所,1998-09-03
坂本 巨樹,早稲田大学,1998-09-03
鈴木 克明,東京女子大学,1998-09-03
鈴木 健一,宮城工業高等専門学校,1998-09-03
鈴木 晋吾,中京大学,1998-09-03
鈴木 麗,奈良先端科学技術大学院大学,1998-09-03
高岡 詠子,千歳科学技術大学,1998-09-03
楯岡 孝道,電気通信大学,1998-09-03
