馬場 始三,第29回情報科学若手の会,プレゼンテータ 「災害時のインターネットの役割について」,1996-09-01
米津 光浩,第29回情報科学若手の会,プレゼンテータ 「リゾームとしてのインターネット」～９０年代サブカルチャーとしてのインターネット～,1996-09-01
松田 晃一,第29回情報科学若手の会,プレゼンテータ 「インターネット上の共有仮想空間」,1996-09-01
中村 嘉志,第30回情報科学若手の会,パネリスト 「某専門学校での計算機教育の経験について」,1997-09-03
田辺 則彦,第30回情報科学若手の会,パネリスト 「情報ネットワークの教育利用」,1997-09-03
西田 知博,第30回情報科学若手の会,パネリスト 「ネットワークを用いた学生とのコミュニケーション支援システム」,1997-09-03
越智 洋司,第30回情報科学若手の会,パネリスト 「徳島大学における教育システムの研究・開発(日本語教育)」,1997-09-03
渡辺 俊雄,第30回情報科学若手の会,特別参加者,1997-09-03
越智 洋司,第30回情報科学若手の会,参加者,1997-09-03
矢農 正紀,第30回情報科学若手の会,参加者,1997-09-03
池田 茂,第30回情報科学若手の会,参加者,1997-09-03
斎藤 正武,第30回情報科学若手の会,参加者,1997-09-03
田辺 則彦,第30回情報科学若手の会,参加者,1997-09-03
戴 震原,第30回情報科学若手の会,参加者,1997-09-03
西田 知博,第30回情報科学若手の会,参加者,1997-09-03
須田 宇宙,第30回情報科学若手の会,参加者,1997-09-03
河村 俊一,第30回情報科学若手の会,参加者,1997-09-03
山内 斉,第30回情報科学若手の会,参加者,1997-09-03
岩井 輝男,第30回情報科学若手の会,参加者,1997-09-03
宇治 玲子,第30回情報科学若手の会,参加者,1997-09-03
室野園 薫子,第30回情報科学若手の会,参加者,1997-09-03
坂本 巨樹,第30回情報科学若手の会,参加者,1997-09-03
小出 洋,第30回情報科学若手の会,参加者,1997-09-03
楯岡 孝道,第30回情報科学若手の会,参加者,1997-09-03
中村 嘉志,第30回情報科学若手の会,参加者,1997-09-03
筧 一彦,第30回情報科学若手の会,参加者,1997-09-03
川本 史生,第30回情報科学若手の会,参加者,1997-09-03
吉池 久夫,第30回情報科学若手の会,参加者,1997-09-03
山口 文彦,第30回情報科学若手の会,参加者,1997-09-03
田中 詠子,第30回情報科学若手の会,参加者,1997-09-03
楯岡 孝道,第31回情報科学若手の会,パネリスト 「モバイルコンピューティングの現状と将来」,1998-09-03
小出 洋,第31回情報科学若手の会,パネリスト 「ネットワークスーパーコンピューティングの現状と将来」,1998-09-03
山口 文彦,第31回情報科学若手の会,パネリスト 「外部記憶はどれだけ必要か」,1998-09-03
川本 史生,第31回情報科学若手の会,パネリスト 「人とコンピュータの関わり合い」,1998-09-03
筧 一彦,第31回情報科学若手の会,参加者,1998-09-03
